project,conflictJar,riskLevel,prediction,actual,oldPath,newPath
org.apache.abdera:abdera-extensions-features,xerces:xercesImpl,1,not fixed,not fixed,D:\rawData\gitHub_old\abdera-abdera-1.1.2-RC2\extensions\features,D:\rawData\gitHub_new\abdera-abdera-1.1.3-RC2\extensions\features
org.apache.abdera:abdera-extensions-features,commons-logging:commons-logging,1,not fixed,not fixed,D:\rawData\gitHub_old\abdera-abdera-1.1.2-RC2\extensions\features,D:\rawData\gitHub_new\abdera-abdera-1.1.3-RC2\extensions\features
org.apache.abdera:abdera-extensions-features,org.codehaus.woodstox:wstx-asl,4,fixed,fixed,D:\rawData\gitHub_old\abdera-abdera-1.1.2-RC2\extensions\features,D:\rawData\gitHub_new\abdera-abdera-1.1.3-RC2\extensions\features
org.apache.abdera:abdera-extensions-features,xml-apis:xml-apis,1,not fixed,not fixed,D:\rawData\gitHub_old\abdera-abdera-1.1.2-RC2\extensions\features,D:\rawData\gitHub_new\abdera-abdera-1.1.3-RC2\extensions\features
org.apache.abdera:abdera-extensions-features,commons-codec:commons-codec,1,not fixed,not fixed,D:\rawData\gitHub_old\abdera-abdera-1.1.2-RC2\extensions\features,D:\rawData\gitHub_new\abdera-abdera-1.1.3-RC2\extensions\features
commons-chain:commons-chain,commons-logging:commons-logging,1,not fixed,not fixed,D:\rawData\gitHub_old\commons-chain-CHAIN_1_2_RC2,D:\rawData\gitHub_new\commons-chain-CHAIN_1_2
commons-chain:commons-chain,commons-digester:commons-digester,1,not fixed,not fixed,D:\rawData\gitHub_old\commons-chain-CHAIN_1_2_RC2,D:\rawData\gitHub_new\commons-chain-CHAIN_1_2
org.apache.bookkeeper.stats:bookkeeper-stats-api,commons-logging:commons-logging,1,not fixed,not fixed,D:\rawData\gitHub_old\bookkeeper-release-4.5.0\bookkeeper-stats,D:\rawData\gitHub_new\bookkeeper-release-4.6.1\bookkeeper-stats
org.apache.servicemix:servicemix-audit,commons-lang:commons-lang,3,fixed,fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,com.sun.xml.bind:jaxb-impl,1,not fixed,fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,com.thoughtworks.xstream:xstream,1,not fixed,fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,commons-collections:commons-collections,1,not fixed,not fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,junit:junit,3,fixed,fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,commons-pool:commons-pool,1,not fixed,not fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec,1,not fixed,not fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,javax.xml.bind:jaxb-api,1,not fixed,fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
org.apache.servicemix:servicemix-audit,commons-logging:commons-logging,1,not fixed,not fixed,D:\rawData\gitHub_old\servicemix3-servicemix-3.3.2\core\servicemix-audit,D:\rawData\gitHub_new\servicemix3-servicemix-3.4.1\core\servicemix-audit
